t,phi,theta,psi
49.75689411,2.027483986,1.570796327,-3.092302031
49.8565309,2.021394541,1.570796327,-3.093188966
49.95618558,2.013962069,1.570796327,-3.097539672
50.05579543,2.010038235,1.570796327,-3.099372228
50.15553331,2.008800854,1.570796327,-3.097231636
50.25522065,2.019695882,1.570796327,-3.090385883
50.35473013,2.026161946,1.570796327,-3.088354736
50.45450735,2.033542602,1.570796327,-3.085966722
50.55425858,2.036111967,1.570796327,-3.089045544
50.65375924,2.039292153,1.570796327,-3.090119108
50.7533977,2.041500467,1.570796327,-3.091988018
50.85305309,2.009200761,1.570796327,-3.09476188
50.95267177,1.955740712,1.570796327,-3.10631453
51.0523777,1.908127473,1.570796327,-3.112853413
51.15196276,1.88499467,1.570796327,-3.117155717
51.25163722,1.868831335,1.570796327,-3.120041674
51.35136271,1.855477383,1.570796327,-3.122831704
51.45099282,1.851167814,1.570796327,-3.123173518
51.5506413,1.846630865,1.570796327,-3.123684776
51.65037107,1.844004744,1.570796327,-3.124142464
51.74992466,1.853183749,1.570796327,-3.124128303
51.84957385,1.882140137,1.570796327,-3.121298579
51.94918823,1.911404345,1.570796327,-3.118153684
52.04882836,1.935058043,1.570796327,-3.114049312
52.14855719,1.959878492,1.570796327,-3.109858797
52.24815941,1.986003433,1.570796327,-3.106847147
52.34784174,2.00052059,1.570796327,-3.107157601
52.44752002,2.000244345,1.570796327,-3.110702924
52.54706144,1.998516679,1.570796327,-3.110136764
52.64676857,1.997054136,1.570796327,-3.108053428
52.7465148,1.998553872,1.570796327,-3.103999478
52.84602785,2.002973545,1.570796327,-3.102903416
52.94563079,2.004548634,1.570796327,-3.10257499
53.04530334,2.001747468,1.570796327,-3.107506937
53.14498687,1.993284639,1.570796327,-3.110285934
53.24467015,1.989112304,1.570796327,-3.109963409
53.34427476,1.988718754,1.570796327,-3.107401428
53.44397283,1.992496187,1.570796327,-3.106103533
53.54367399,1.992870932,1.570796327,-3.106579673
53.64317513,1.989683642,1.570796327,-3.11110623
53.74289465,1.985804514,1.570796327,-3.112941629
53.8426671,1.978649977,1.570796327,-3.113853527
53.94224215,1.972342263,1.570796327,-3.112954808
54.04186296,1.969974051,1.570796327,-3.111814657
54.1414597,1.963521605,1.570796327,-3.112602101
54.24119353,1.959558023,1.570796327,-3.112731064
54.3408525,1.955950027,1.570796327,-3.114362241
54.44044733,1.950082111,1.570796327,-3.115729132
54.5401473,1.94689342,1.570796327,-3.116137403
54.63985062,1.943762429,1.570796327,-3.116057738
54.73948312,1.943224533,1.570796327,-3.115840033
54.83913493,1.941695742,1.570796327,-3.115568057
54.93886113,1.940150113,1.570796327,-3.116240288
55.03845358,1.938064737,1.570796327,-3.116783429
55.13809252,1.935102125,1.570796327,-3.116259888
